data_(yyyy-mm-dd),precipitacao_total_horário_(mm),pressao_atmosferica_ao_nivel_da_estacao_horaria_(mb),pressão_atmosferica_maxna_hora_ant_(aut)_(mb),pressão_atmosferica_min_na_hora_ant_(aut)_(mb),radiacao_global_(kj/m),temperatura_do_ar_-_bulbo_seco_horaria_(c),temperatura_do_ponto_de_orvalho_(c),temperatura_máxima_na_hora_ant_(aut)_(c),temperatura_mínima_na_hora_ant_(aut)_(c),temperatura_orvalho_max_na_hora_ant_(aut)_(c),temperatura_orvalho_min_na_hora_ant_(aut)_(c),umidade_rel_max_na_hora_ant_(aut)_(%),umidade_rel_min_na_hora_ant_(aut)_(%),umidade_relativa_do_ar_horaria_(%),vento_direcao_horaria_(gr)_(_(gr)),vento_rajada_maxima_(m/s),vento_velocidade_horaria_(m/s)
2008-07-11,,,,,,,,,,,,,,,,,
2008-07-12,,,,,,,,,,,,,,,,,
2008-07-13,,,,,,,,,,,,,,,,,
2008-07-14,,,,,,,,,,,,,,,,,
2008-07-15,,,,,,,,,,,,,,,,,
2008-07-16,0.0,988.4666666666667,988.8090909090911,988.2090909090908,1514.7916666666663,28.8,17.841666666666665,30.263636363636365,28.127272727272725,18.87272727272727,16.900000000000002,57.63636363636363,47.18181818181818,53.583333333333336,152.66666666666666,4.6454545454545455,1.9500000000000002
2008-07-17,0.0,986.8466666666666,987.1533333333332,986.5799999999999,1763.6916666666666,27.90666666666667,15.126666666666667,28.719999999999995,26.82,16.18,14.540000000000001,54.0,45.0,47.86666666666667,69.66666666666667,4.3,2.28
2008-07-18,0.0,986.5058823529411,986.74375,986.2125,1767.9833333333336,27.676470588235293,14.723529411764707,28.843750000000004,27.16875,15.218749999999998,13.825000000000001,48.8125,42.0,46.94117647058823,95.3529411764706,4.3,2.305882352941177
2008-07-19,0.0,986.7588235294119,986.9375000000001,986.5,1695.5333333333335,28.447058823529407,16.611764705882354,29.662499999999998,27.88125,17.4625,15.875,52.5625,45.5,49.64705882352941,61.470588235294116,4.206250000000001,2.235294117647059
2008-07-20,0.0,986.9625,987.2333333333335,986.6266666666666,1745.2166666666665,28.837500000000002,19.037499999999998,30.200000000000006,28.166666666666668,19.459999999999997,18.226666666666667,58.266666666666666,51.06666666666667,56.6875,233.9375,4.02,1.8562500000000004
