data_(yyyy-mm-dd),precipitacao_total_horário_(mm),pressao_atmosferica_ao_nivel_da_estacao_horaria_(mb),pressão_atmosferica_maxna_hora_ant_(aut)_(mb),pressão_atmosferica_min_na_hora_ant_(aut)_(mb),radiacao_global_(kj/m),temperatura_do_ar_-_bulbo_seco_horaria_(c),temperatura_do_ponto_de_orvalho_(c),temperatura_máxima_na_hora_ant_(aut)_(c),temperatura_mínima_na_hora_ant_(aut)_(c),temperatura_orvalho_max_na_hora_ant_(aut)_(c),temperatura_orvalho_min_na_hora_ant_(aut)_(c),umidade_rel_max_na_hora_ant_(aut)_(%),umidade_rel_min_na_hora_ant_(aut)_(%),umidade_relativa_do_ar_horaria_(%),vento_direcao_horaria_(gr)_(_(gr)),vento_rajada_maxima_(m/s),vento_velocidade_horaria_(m/s)
2000-05-07,0.0,1012.6416666666665,1012.775,1012.3250000000002,348.6,22.23333333333333,17.441666666666666,22.491666666666664,21.966666666666665,17.816666666666666,17.033333333333335,76.33333333333333,72.0,74.25,193.58333333333334,4.749999999999999,2.041666666666667
2000-05-08,0.0,1013.4083333333334,1013.7166666666664,1013.2208333333333,618.75,22.154166666666665,18.179166666666667,22.520833333333332,21.870833333333334,18.42083333333333,17.891666666666666,80.75,76.5,79.08333333333333,83.41666666666667,2.4791666666666665,0.9791666666666669
2000-05-09,0.049999999999999996,1012.2499999999999,1012.4041666666664,1011.9208333333331,550.4166666666666,21.900000000000002,19.091666666666665,22.337499999999995,21.57083333333334,19.433333333333334,18.754166666666663,86.625,81.83333333333333,84.41666666666667,208.91666666666666,4.639130434782609,2.433333333333333
2000-05-10,0.0,1015.2624999999999,1015.4999999999999,1014.9874999999998,1500.75,20.729166666666668,15.270833333333336,21.429166666666664,20.07916666666667,15.687500000000005,14.641666666666664,76.66666666666667,69.41666666666667,73.66666666666667,171.375,5.041666666666667,2.0749999999999997
2000-05-11,1.0666666666666667,1017.1958333333336,1017.3875000000002,1016.875,1304.9166666666667,20.35,16.650000000000002,21.03333333333333,19.770833333333336,17.104166666666664,16.1125,84.125,76.79166666666667,80.95833333333333,218.125,5.630434782608695,2.545833333333333
2000-05-12,0.049999999999999996,1017.8625000000002,1018.1125000000001,1017.6583333333334,1234.5833333333333,20.116666666666667,16.21666666666667,20.608333333333338,19.483333333333338,16.7875,15.641666666666667,84.16666666666667,77.70833333333333,80.58333333333333,166.0,3.954166666666667,1.4375000000000002
2000-05-13,0.0,1016.6458333333334,1016.8874999999998,1016.4541666666665,1404.1666666666667,20.25416666666667,15.158333333333339,20.795833333333334,19.604166666666668,15.616666666666665,14.745833333333335,78.5,72.20833333333333,75.20833333333333,160.33333333333334,3.8708333333333336,1.4124999999999996
2000-05-14,0.0,1015.3791666666666,1015.6666666666665,1015.1749999999998,1401.9166666666667,20.675,15.758333333333338,21.262500000000003,20.033333333333335,16.191666666666666,15.325000000000001,78.79166666666667,73.16666666666667,76.125,198.875,4.373913043478261,2.029166666666667
2000-05-15,0.0,1011.504166666667,1011.8416666666667,1011.3583333333332,1354.5833333333333,20.9125,16.670833333333334,21.670833333333334,20.179166666666664,17.06666666666667,16.23333333333333,82.66666666666667,75.75,79.33333333333333,208.33333333333334,5.320833333333333,2.3375
2000-05-16,0.0,1009.8666666666667,1010.2333333333332,1009.8333333333334,,19.133333333333336,18.433333333333334,19.7,19.099999999999998,18.866666666666664,18.333333333333332,96.0,94.33333333333333,95.66666666666667,315.6666666666667,1.6666666666666667,0.6333333333333333
2000-05-17,,,,,,,,,,,,,,,,,
2000-05-18,,,,,,,,,,,,,,,,,
2000-05-19,,,,,,,,,,,,,,,,,
2000-05-20,,,,,,,,,,,,,,,,,
2000-05-21,,,,,,,,,,,,,,,,,
2000-05-22,,,,,,,,,,,,,,,,,
2000-05-23,,,,,,,,,,,,,,,,,
2000-05-24,0.0,1017.6666666666666,1017.6666666666666,1017.2333333333332,6.0,18.933333333333334,16.0,20.500000000000004,18.933333333333334,16.3,15.633333333333333,83.33333333333333,75.66666666666667,83.0,286.0,2.966666666666667,1.3
2000-05-25,0.008333333333333333,1015.6791666666667,1015.9958333333333,1015.5708333333333,1369.3333333333333,20.191666666666666,13.29166666666667,20.962500000000002,19.387500000000003,13.833333333333334,12.820833333333335,72.54166666666667,66.04166666666667,68.875,95.41666666666667,4.733333333333333,2.2291666666666665
2000-05-26,0.0,1012.8666666666667,1013.0333333333333,1012.8666666666667,,19.466666666666665,13.0,19.966666666666665,17.499999999999996,13.433333333333332,12.9,76.66666666666667,64.33333333333333,66.66666666666667,126.33333333333333,2.0,1.0666666666666667
2000-05-27,,,,,,,,,,,,,,,,,
2000-05-28,,,,,,,,,,,,,,,,,
2000-05-29,0.0,1011.85,1011.85,1011.3666666666667,792.75,19.05,12.933333333333335,20.6,19.05,13.266666666666666,12.583333333333334,69.16666666666667,61.833333333333336,68.83333333333333,212.16666666666666,4.550000000000001,2.233333333333333
2000-05-30,0.0,1010.6333333333336,1011.0208333333335,1010.4458333333333,1292.8333333333333,17.991666666666667,13.850000000000001,18.620833333333334,17.25,14.129166666666668,13.475000000000003,82.25,76.83333333333333,79.5,145.75,4.608333333333333,2.2708333333333335
2000-05-31,0.008333333333333333,1008.8916666666664,1009.0916666666667,1008.6291666666665,1235.1666666666667,19.029166666666665,14.512499999999998,19.737499999999997,18.333333333333332,15.154166666666667,13.825000000000001,82.04166666666667,76.0,79.08333333333333,114.79166666666667,4.030434782608695,1.9874999999999998
2000-06-01,0.041666666666666664,1012.65,1012.8374999999997,1012.2708333333335,269.6666666666667,19.004166666666666,16.158333333333335,19.30416666666667,18.674999999999997,16.474999999999998,15.812500000000002,86.41666666666667,81.54166666666667,84.04166666666667,165.58333333333334,2.786363636363636,0.7833333333333333
2000-06-02,0.0,1016.5458333333332,1016.6875,1016.2833333333333,607.0833333333334,19.40833333333333,16.19166666666667,19.70416666666667,19.099999999999998,16.475,15.883333333333333,84.70833333333333,80.29166666666667,82.45833333333333,171.04166666666666,4.181818181818182,1.1374999999999997
2000-06-03,0.0,1019.5624999999999,1019.7083333333331,1019.2916666666665,759.0833333333334,20.399999999999995,16.933333333333334,20.900000000000002,19.9875,17.208333333333332,16.650000000000002,83.58333333333333,78.875,81.375,142.75,2.9086956521739125,1.25
2000-06-04,0.0,1020.9708333333332,1021.1666666666669,1020.7875,936.5833333333334,20.3875,15.408333333333333,21.054166666666667,19.870833333333334,15.920833333333334,15.008333333333335,78.41666666666667,71.79166666666667,74.95833333333333,155.375,3.491304347826087,1.1666666666666667
2000-06-05,0.0,1019.9541666666668,1020.1999999999999,1019.8000000000001,1310.9166666666667,18.995833333333334,13.020833333333334,19.808333333333334,18.308333333333337,13.425000000000002,12.754166666666665,74.5,68.125,71.25,145.375,5.2,2.479166666666667
2000-06-06,0.0,1018.9166666666669,1019.1333333333333,1018.7125000000001,1329.4166666666667,21.620833333333334,13.699999999999998,22.170833333333334,20.920833333333334,14.033333333333333,13.362499999999997,66.70833333333333,61.041666666666664,63.375,125.45833333333333,6.4125000000000005,2.85
2000-06-07,0.0,1016.9916666666668,1017.2583333333336,1016.8208333333336,1318.0833333333333,22.625,14.508333333333335,23.395833333333332,21.941666666666666,14.779166666666669,14.233333333333333,64.375,58.625,61.708333333333336,191.75,6.133333333333334,2.5958333333333337
2000-06-08,0.0,1015.5833333333331,1015.7791666666664,1015.3916666666665,1294.25,23.74166666666666,14.625,24.437500000000004,22.983333333333334,15.00416666666667,14.170833333333334,62.5,56.125,59.083333333333336,287.7916666666667,5.279166666666667,2.2624999999999997
