data_(yyyy-mm-dd),precipitacao_total_horário_(mm),pressao_atmosferica_ao_nivel_da_estacao_horaria_(mb),pressão_atmosferica_maxna_hora_ant_(aut)_(mb),pressão_atmosferica_min_na_hora_ant_(aut)_(mb),radiacao_global_(kj/m),temperatura_do_ar_-_bulbo_seco_horaria_(c),temperatura_do_ponto_de_orvalho_(c),temperatura_máxima_na_hora_ant_(aut)_(c),temperatura_mínima_na_hora_ant_(aut)_(c),temperatura_orvalho_max_na_hora_ant_(aut)_(c),temperatura_orvalho_min_na_hora_ant_(aut)_(c),umidade_rel_max_na_hora_ant_(aut)_(%),umidade_rel_min_na_hora_ant_(aut)_(%),umidade_relativa_do_ar_horaria_(%),vento_direcao_horaria_(gr)_(_(gr)),vento_rajada_maxima_(m/s),vento_velocidade_horaria_(m/s)
2004-12-17,0.6666666666666666,976.6666666666666,977.3166666666667,976.5166666666668,929.6199999999999,26.740000000000002,19.959999999999997,27.580000000000002,25.839999999999996,20.939999999999998,18.74,70.6,63.0,66.4,179.4,7.55,1.98
2004-12-18,0.39999999999999997,978.0166666666665,978.3083333333333,977.6999999999998,989.1357142857145,25.054166666666664,20.995833333333334,25.58749999999999,24.516666666666666,21.412499999999998,20.483333333333334,82.33333333333333,75.33333333333333,78.91666666666667,184.91666666666666,2.6625,1.1666666666666667
2004-12-19,0.008333333333333333,978.9041666666667,979.2375000000001,978.625,1175.3214285714287,26.145833333333332,21.583333333333332,26.570833333333336,25.7375,22.04583333333333,21.174999999999997,80.20833333333333,74.0,77.0,185.08333333333334,2.5625000000000004,1.2625
2004-12-20,0.39999999999999997,977.8416666666666,978.2208333333333,977.525,933.35,27.041666666666668,22.041666666666668,27.691666666666674,26.2625,22.695833333333336,21.537500000000005,79.66666666666667,70.66666666666667,74.625,188.5,3.4916666666666667,1.5166666666666668
2004-12-21,0.09999999999999999,977.7458333333334,978.0500000000001,977.4041666666667,700.4615384615385,25.275000000000002,22.137500000000003,25.825000000000003,24.95,22.4375,21.82916666666667,84.91666666666667,79.875,83.16666666666667,169.16666666666666,4.2875000000000005,2.058333333333333
2004-12-22,0.024999999999999998,977.1500000000001,977.5,976.9333333333335,1299.9461538461537,25.21666666666667,21.379166666666674,25.47916666666667,24.73333333333333,21.7,20.991666666666664,83.04166666666667,78.625,80.45833333333333,161.125,2.75,1.0916666666666666
2004-12-23,0.6333333333333334,976.2000000000003,976.5958333333332,975.9041666666667,817.6857142857143,24.625000000000004,20.787499999999998,25.162499999999998,24.233333333333338,21.308333333333334,20.370833333333334,82.66666666666667,76.58333333333333,80.0,208.91666666666666,3.795833333333334,1.654166666666667
2004-12-24,0.025000000000000005,975.3541666666666,975.6375000000002,974.9958333333334,1233.45,25.60833333333333,21.195833333333336,26.387499999999992,24.879166666666674,21.791666666666668,20.6125,81.5,73.375,77.625,169.875,3.541666666666666,1.425
2004-12-25,1.1916666666666667,977.5333333333333,977.9625000000001,977.1749999999998,1603.0846153846155,24.94583333333333,20.633333333333336,25.454166666666666,24.41666666666666,21.14583333333333,20.129166666666663,81.29166666666667,75.75,78.625,158.375,4.320833333333333,1.7791666666666668
2004-12-26,0.0,977.3833333333333,977.7416666666668,977.1041666666666,1345.564285714286,26.737499999999994,21.88333333333334,27.429166666666664,26.162499999999998,22.441666666666666,21.441666666666663,79.54166666666667,72.875,76.16666666666667,157.79166666666666,3.9166666666666674,1.7083333333333333
2004-12-27,0.0,976.9708333333336,977.3833333333333,976.591666666667,1214.1285714285718,27.316666666666666,21.379166666666674,28.0125,26.625,22.02083333333334,20.795833333333334,76.0,67.75,71.70833333333333,149.625,3.4625000000000004,1.375
2004-12-28,3.358333333333334,978.6166666666667,978.8749999999997,978.2208333333333,268.9307692307692,23.808333333333337,21.52916666666667,24.254166666666666,23.537500000000005,21.825,21.3,89.0,84.91666666666667,87.33333333333333,143.83333333333334,3.1999999999999997,1.3041666666666667
2004-12-29,0.0,979.1458333333335,979.4749999999999,978.9166666666666,1623.7999999999997,25.76666666666667,20.85416666666667,26.379166666666663,25.220833333333335,21.383333333333336,20.50833333333333,79.41666666666667,73.66666666666667,76.29166666666667,129.54166666666666,3.0250000000000004,1.2458333333333333
2004-12-30,0.0,978.7708333333335,979.1041666666666,978.5208333333334,1653.9846153846154,28.10833333333333,20.929166666666664,28.841666666666665,27.36250000000001,21.67083333333333,20.287499999999994,71.33333333333333,62.291666666666664,66.83333333333333,157.45833333333334,3.4583333333333335,1.4041666666666666
2004-12-31,1.0166666666666666,978.3333333333331,978.6958333333333,978.0374999999998,1485.107692307692,25.72083333333333,21.774999999999995,26.620833333333337,24.99166666666667,22.454166666666662,21.233333333333334,84.41666666666667,75.125,80.04166666666667,151.125,4.1125,1.6124999999999998
2005-01-01,0.3499999999999999,978.1958333333331,978.5124999999999,977.8958333333334,1186.5785714285714,25.120833333333334,21.916666666666668,25.720833333333335,24.487499999999994,22.287499999999998,21.512500000000003,86.33333333333333,80.25,83.33333333333333,165.66666666666666,3.5291666666666663,1.5250000000000001
2005-01-02,0.0,979.5249999999997,979.8083333333334,979.2791666666664,1079.6923076923076,24.512500000000003,21.370833333333334,24.98333333333333,24.033333333333335,21.754166666666663,21.112499999999997,85.91666666666667,81.125,83.45833333333333,135.125,4.591666666666668,2.1083333333333334
2005-01-03,0.0,979.5708333333332,979.9000000000002,979.3708333333334,1500.8999999999999,25.450000000000006,21.041666666666668,25.820833333333336,24.95416666666667,21.370833333333334,20.637500000000006,80.79166666666667,75.625,77.95833333333333,182.66666666666666,3.1125000000000003,1.5166666666666666
2005-01-04,0.3833333333333333,977.5125000000002,977.8416666666667,977.3208333333333,963.5,25.858333333333334,22.012500000000003,26.600000000000005,25.195833333333336,22.5125,21.404166666666665,83.5,75.66666666666667,80.04166666666667,132.25,3.220833333333333,1.25
2005-01-05,0.0,976.1624999999999,976.5208333333334,975.8625000000001,1230.8615384615384,26.962500000000002,22.299999999999997,27.63333333333333,26.24166666666666,22.783333333333335,21.679166666666664,80.54166666666667,73.125,77.08333333333333,166.625,3.0041666666666664,1.1458333333333333
2005-01-06,0.0,976.5875000000001,976.8958333333334,976.3500000000003,1466.9153846153845,27.150000000000002,22.491666666666664,27.704166666666662,26.54583333333333,22.962500000000002,22.104166666666668,80.20833333333333,73.79166666666667,76.79166666666667,166.16666666666666,4.4750000000000005,2.045833333333333
2005-01-07,0.0,976.6000000000003,976.8583333333335,976.3916666666669,1991.3076923076924,28.82499999999999,21.549999999999997,29.424999999999997,28.049999999999997,22.391666666666666,21.145833333333332,73.125,67.0,69.29166666666667,113.83333333333333,3.466666666666667,1.6416666666666666
2005-01-08,0.0,975.7874999999998,976.0875,975.5874999999997,2026.4923076923076,29.566666666666666,19.42083333333333,30.42916666666667,28.679166666666664,20.40833333333333,18.087500000000002,63.041666666666664,52.125,58.041666666666664,119.41666666666667,3.358333333333333,1.4666666666666666
2005-01-09,0.0,976.0541666666667,976.3625000000002,975.6625000000003,1374.6461538461538,27.799999999999997,20.82083333333333,28.762499999999992,27.07083333333333,21.474999999999998,20.075,70.20833333333333,61.166666666666664,66.54166666666667,137.95833333333334,4.574999999999999,1.6583333333333332
2005-01-10,0.0,976.791666666667,977.1083333333336,976.4875000000002,1691.5538461538465,27.33333333333334,20.891666666666662,27.8875,26.69583333333334,21.54583333333333,20.212499999999995,74.0,66.25,69.95833333333333,171.95833333333334,2.9416666666666678,1.2291666666666667
2005-01-11,0.46666666666666673,977.3833333333336,977.7874999999999,976.975,1631.430769230769,26.25,21.5125,27.11666666666667,25.54166666666666,22.0125,20.954166666666666,80.75,72.0,76.79166666666667,161.83333333333334,4.658333333333332,1.9624999999999997
2005-01-12,0.0,976.9782608695652,977.2695652173912,976.7478260869566,901.1750000000001,25.999999999999996,21.821739130434782,26.56521739130435,25.391304347826082,22.247826086956522,21.260869565217394,82.52173913043478,74.69565217391305,78.69565217391305,163.47826086956522,3.834782608695652,1.4739130434782608
2005-01-13,0.008333333333333333,977.6541666666668,978.0291666666666,977.3750000000001,1417.9307692307693,26.191666666666666,20.98333333333333,26.604166666666668,25.695833333333336,21.462500000000002,20.487499999999997,78.16666666666667,72.375,75.125,172.20833333333334,3.420833333333333,1.6250000000000002
2005-01-14,0.9083333333333333,976.3958333333334,976.7541666666667,976.0833333333331,1286.5461538461536,25.8625,22.008333333333336,26.45416666666667,25.40833333333333,22.44583333333333,21.558333333333337,83.125,76.45833333333333,80.20833333333333,205.5,4.658333333333333,2.1708333333333334
2005-01-15,0.7166666666666667,976.5500000000002,976.8833333333336,976.2458333333337,1193.3692307692306,25.379166666666666,21.745833333333337,25.987499999999997,24.845833333333335,22.30416666666667,21.337500000000002,84.875,77.33333333333333,80.95833333333333,218.83333333333334,4.429166666666667,1.9249999999999998
2005-01-16,0.0,976.0291666666666,976.3583333333336,975.7833333333334,975.2615384615384,25.841666666666672,21.737499999999997,26.287500000000005,25.458333333333332,22.09583333333333,21.420833333333334,81.25,75.83333333333333,78.54166666666667,218.75,4.333333333333333,2.0458333333333334
2005-01-17,0.39166666666666666,975.1749999999998,975.4916666666668,974.875,1042.3846153846155,25.64583333333333,22.40833333333333,26.162499999999998,24.954166666666662,22.75,22.087500000000002,86.70833333333333,79.91666666666667,82.875,161.0,3.045833333333334,1.2666666666666664
2005-01-18,0.5499999999999999,975.775,976.0291666666666,975.4125000000003,1129.5384615384614,25.89166666666667,22.03333333333333,26.5,25.424999999999997,22.462500000000002,21.666666666666668,82.95833333333333,76.20833333333333,79.83333333333333,194.54166666666666,4.833333333333333,1.8666666666666665
2005-01-19,0.016666666666666666,976.3416666666666,976.7749999999997,976.0083333333332,1061.8615384615387,25.175,21.599999999999998,25.537499999999998,24.845833333333335,21.95416666666667,21.300000000000004,83.625,79.16666666666667,81.29166666666667,176.29166666666666,3.616666666666667,1.7041666666666664
2005-01-20,0.025000000000000005,976.6916666666666,977.0208333333331,976.3583333333331,1200.4769230769232,26.745833333333334,21.92916666666666,27.175,26.291666666666668,22.3875,21.49166666666667,79.45833333333333,73.0,76.0,107.125,3.6583333333333337,1.8499999999999996
2005-01-21,0.041666666666666664,977.6500000000001,978.0166666666668,977.3291666666668,1487.430769230769,27.141666666666666,21.524999999999995,27.849999999999998,26.466666666666665,22.099999999999998,20.858333333333338,76.20833333333333,67.875,72.41666666666667,158.875,4.6125,1.8291666666666666
2005-01-22,0.0,978.9416666666667,979.3124999999999,978.5916666666667,1430.6923076923076,27.45,22.275000000000006,27.995833333333334,26.904166666666665,22.86666666666667,21.79583333333333,78.625,71.70833333333333,74.83333333333333,158.70833333333334,2.9291666666666667,1.195833333333333
2005-01-23,0.975,980.3083333333333,980.6374999999999,979.9375,1000.4384615384614,24.333333333333332,21.437500000000004,25.09166666666667,23.829166666666662,21.950000000000003,21.0625,87.5,80.54166666666667,84.33333333333333,212.58333333333334,4.641666666666667,1.8499999999999996
2005-01-24,0.025000000000000005,978.5791666666668,978.9625000000002,978.3958333333334,1065.946153846154,24.116666666666664,20.799999999999997,24.46666666666667,23.587500000000006,21.241666666666664,20.354166666666668,85.66666666666667,80.54166666666667,82.625,160.33333333333334,2.645833333333333,1.2
2005-01-25,0.0,977.1375000000002,977.4916666666667,976.8333333333335,1889.9615384615386,27.55,21.187499999999996,28.07916666666667,26.941666666666674,21.958333333333332,20.604166666666664,75.125,67.91666666666667,71.125,178.95833333333334,3.279166666666667,1.3083333333333336
2005-01-26,1.9000000000000001,978.4541666666665,978.7750000000001,978.0833333333334,536.576923076923,24.883333333333336,22.745833333333337,25.42916666666667,24.545833333333334,23.099999999999994,22.35833333333333,90.29166666666667,84.41666666666667,88.125,139.04166666666666,3.370833333333334,1.4749999999999999
2005-01-27,0.2333333333333333,978.620833333333,978.9666666666668,978.3666666666664,1763.0538461538458,26.712499999999995,22.55416666666667,27.391666666666666,26.079166666666666,23.141666666666666,22.083333333333332,82.95833333333333,75.29166666666667,79.08333333333333,201.66666666666666,3.0500000000000007,1.2666666666666666
2005-01-28,0.0,977.3583333333332,977.725,977.1083333333332,1380.6461538461533,27.579166666666666,22.883333333333336,28.245833333333334,26.933333333333334,23.5,22.241666666666664,81.0,72.45833333333333,77.0,153.95833333333334,3.7500000000000004,1.5541666666666665
