data_(yyyy-mm-dd),precipitacao_total_horário_(mm),pressao_atmosferica_ao_nivel_da_estacao_horaria_(mb),pressão_atmosferica_maxna_hora_ant_(aut)_(mb),pressão_atmosferica_min_na_hora_ant_(aut)_(mb),radiacao_global_(kj/m),temperatura_do_ar_-_bulbo_seco_horaria_(c),temperatura_do_ponto_de_orvalho_(c),temperatura_máxima_na_hora_ant_(aut)_(c),temperatura_mínima_na_hora_ant_(aut)_(c),temperatura_orvalho_max_na_hora_ant_(aut)_(c),temperatura_orvalho_min_na_hora_ant_(aut)_(c),umidade_rel_max_na_hora_ant_(aut)_(%),umidade_rel_min_na_hora_ant_(aut)_(%),umidade_relativa_do_ar_horaria_(%),vento_direcao_horaria_(gr)_(_(gr)),vento_rajada_maxima_(m/s),vento_velocidade_horaria_(m/s)
2002-12-05,,,,,,,,,,,,,,,,,
2002-12-06,,,,,,,,,,,,,,,,,
2002-12-07,,,,,,,,,,,,,,,,,
2002-12-08,,,,,,,,,,,,,,,,,
2002-12-09,,,,,,,,,,,,,,,,,
2002-12-10,,,,,,,,,,,,,,,,,
2002-12-11,,,,,,,,,,,,,,,,,
2002-12-12,,,,,,,,,,,,,,,,,
2002-12-13,,,,,,,,,,,,,,,,,
2002-12-14,,,,,,,,,,,,,,,,,
2002-12-15,0.0,992.708333333333,993.0083333333332,992.4416666666665,15693.23076923077,26.76666666666667,19.05416666666667,27.354166666666668,26.216666666666665,19.412499999999998,18.679166666666667,66.875,61.125,64.125,122.375,4.470833333333332,2.225
2002-12-16,0.0,991.0541666666664,991.3749999999999,990.7958333333332,22113.076923076922,28.404166666666665,18.775000000000002,28.983333333333334,27.59583333333333,19.233333333333338,18.15833333333333,62.583333333333336,56.208333333333336,59.0,95.20833333333333,5.2625,2.65
2002-12-17,0.02608695652173913,990.5478260869564,990.8304347826087,990.2130434782608,17827.076923076922,27.265217391304343,19.726086956521737,28.039130434782606,26.66521739130435,20.117391304347827,19.30434782608696,67.65217391304348,61.73913043478261,64.78260869565217,140.95652173913044,4.8826086956521735,2.573913043478261
2002-12-18,1.05,990.7541666666665,991.1041666666665,990.3541666666666,19766.30769230769,26.770833333333343,19.745833333333334,27.58333333333334,26.08750000000001,20.295833333333334,19.120833333333337,71.875,63.916666666666664,68.75,202.41666666666666,5.279166666666666,2.2916666666666665
2002-12-19,0.48333333333333334,965.8224489795922,965.9795918367347,966.6479166666667,21175.03448275862,26.04210526315789,18.731578947368426,26.59649122807017,25.349122807017537,19.410526315789475,18.260416666666668,71.24137931034483,63.89473684210526,67.28070175438596,146.85416666666666,4.800000000000001,2.245833333333333
2002-12-20,1.0,945.9027777777774,946.5569444444443,945.3638888888886,20971.79069767442,25.323611111111106,18.67916666666667,26.18194444444445,24.65138888888889,19.39583333333333,18.058333333333323,73.375,65.56944444444444,69.80555555555556,150.79166666666666,5.263888888888889,2.3916666666666675
2002-12-21,0.002777777777777778,945.4166666666666,946.136111111111,944.7111111111107,22959.975609756097,26.006944444444443,18.525000000000006,26.752777777777776,25.227777777777778,19.169444444444437,17.8125,71.51388888888889,63.47222222222222,67.47222222222223,169.72222222222223,3.8402777777777777,1.8305555555555562
2002-12-22,0.0,943.5166666666664,944.1777777777776,942.8888888888887,20616.52380952381,26.101388888888902,18.508333333333333,26.843055555555555,25.404166666666665,19.12916666666666,17.908333333333324,69.26388888888889,61.763888888888886,65.48611111111111,131.5,5.158333333333332,2.422222222222223
2002-12-23,0.05555555555555555,943.4444444444447,943.9972222222225,942.8888888888889,19762.780487804877,25.52222222222223,18.69861111111111,26.23194444444445,24.74027777777778,19.40416666666666,18.048611111111114,73.05555555555556,65.09722222222223,68.90277777777777,168.94444444444446,4.413888888888888,2.0986111111111114
2002-12-24,0.005555555555555556,942.9791666666669,943.5805555555556,942.551388888889,20774.60975609756,26.683333333333337,19.441666666666663,27.322222222222223,25.993055555555557,20.001388888888886,18.913888888888888,71.01388888888889,64.31944444444444,67.47222222222223,207.88888888888889,4.515277777777777,2.0625
2002-12-25,0.23055555555555557,941.705555555556,942.3694444444445,941.0763888888889,17755.761904761905,26.399999999999995,20.43333333333333,27.33333333333335,25.53055555555555,20.94166666666667,19.786111111111104,75.65277777777777,67.08333333333333,71.77777777777777,202.47222222222223,4.961111111111113,2.202777777777777
2002-12-26,1.991666666666666,942.926388888889,943.5361111111112,942.3013888888888,14151.095238095239,23.82222222222222,20.241666666666674,24.420833333333338,23.311111111111106,20.73333333333333,19.759722222222212,84.58333333333333,77.97222222222223,81.45833333333333,160.56944444444446,4.408333333333335,1.9875000000000007
2002-12-27,0.5111111111111112,943.1180555555553,943.6222222222223,942.6499999999999,12607.093023255815,23.087500000000006,19.783333333333328,23.486111111111107,22.722222222222225,20.17916666666666,19.42777777777777,85.01388888888889,80.375,82.77777777777777,138.22222222222223,4.270833333333331,2.1347222222222215
