data_(yyyy-mm-dd),precipitacao_total_horário_(mm),pressao_atmosferica_ao_nivel_da_estacao_horaria_(mb),pressão_atmosferica_maxna_hora_ant_(aut)_(mb),pressão_atmosferica_min_na_hora_ant_(aut)_(mb),radiacao_global_(kj/m),temperatura_do_ar_-_bulbo_seco_horaria_(c),temperatura_do_ponto_de_orvalho_(c),temperatura_máxima_na_hora_ant_(aut)_(c),temperatura_mínima_na_hora_ant_(aut)_(c),temperatura_orvalho_max_na_hora_ant_(aut)_(c),temperatura_orvalho_min_na_hora_ant_(aut)_(c),umidade_rel_max_na_hora_ant_(aut)_(%),umidade_rel_min_na_hora_ant_(aut)_(%),umidade_relativa_do_ar_horaria_(%),vento_direcao_horaria_(gr)_(_(gr)),vento_rajada_maxima_(m/s),vento_velocidade_horaria_(m/s)
2003-02-12,,,,,,,,,,,,,,,,,
2003-02-13,0.0,1012.6086956521738,1012.8739130434782,1012.3869565217389,905.0,28.347826086956523,21.999999999999996,28.80869565217391,28.047826086956523,22.44347826086957,21.4304347826087,71.0,65.73913043478261,68.73913043478261,94.08695652173913,7.747826086956521,4.713043478260869
2003-02-14,0.008333333333333333,1012.0958333333334,1012.3291666666668,1011.8833333333332,1428.3333333333333,27.841666666666665,21.825,28.266666666666666,27.39999999999999,22.320833333333336,21.233333333333334,73.20833333333333,66.70833333333333,69.95833333333333,103.54166666666667,6.991666666666666,3.629166666666667
2003-02-15,0.0,1011.2125000000001,1011.4458333333333,1011.0083333333336,1383.0,28.370833333333337,21.84583333333333,28.799999999999994,27.875,22.429166666666664,21.504166666666663,71.20833333333333,66.04166666666667,68.08333333333333,101.91666666666667,7.245833333333333,4.166666666666667
2003-02-16,0.0,1011.1749999999998,1011.3958333333334,1010.9583333333331,1254.5,28.454166666666666,21.816666666666674,28.92083333333333,28.100000000000005,22.19583333333333,21.412499999999998,69.375,65.45833333333333,67.625,112.33333333333333,6.454166666666668,3.3625000000000003
2003-02-17,0.075,1011.1791666666668,1011.4291666666668,1010.9291666666668,1811.5,28.279166666666665,21.987499999999997,28.91666666666666,27.754166666666663,22.620833333333334,21.4875,72.58333333333333,65.875,69.0,104.75,6.833333333333333,3.6916666666666664
2003-02-18,0.0,1012.025,1012.2249999999999,1011.7833333333333,1272.5,28.083333333333332,22.729166666666668,28.52083333333333,27.66666666666666,23.099999999999998,22.3625,75.25,70.83333333333333,72.95833333333333,112.5,6.499999999999997,3.670833333333333
2003-02-19,0.19166666666666668,1012.7874999999999,1013.0416666666669,1012.5416666666665,717.0,28.425000000000008,23.733333333333334,28.912500000000005,27.850000000000005,24.274999999999995,23.266666666666666,79.25,73.625,76.0,95.29166666666667,8.35,4.6000000000000005
2003-02-20,0.008333333333333333,1012.5749999999998,1012.7833333333332,1012.4249999999998,938.0,28.55416666666666,22.891666666666666,28.90416666666667,28.23333333333333,23.362499999999997,22.5125,74.125,69.58333333333333,71.625,105.29166666666667,7.849999999999999,4.333333333333333
2003-02-21,0.1166666666666667,1011.7125,1011.9041666666666,1011.4499999999999,2020.0,27.441666666666666,22.375000000000004,28.05,26.950000000000003,22.88333333333333,21.791666666666668,77.0,70.83333333333333,74.25,122.20833333333333,6.2124999999999995,2.720833333333333
2003-02-22,0.15,1012.525,1012.6916666666666,1012.2750000000001,993.5,27.466666666666665,22.70416666666667,27.995833333333337,26.924999999999994,23.25,22.02916666666667,79.16666666666667,72.91666666666667,76.04166666666667,128.16666666666666,5.745833333333334,2.8083333333333336
2003-02-23,0.0,1013.9625000000001,1014.1833333333335,1013.7166666666667,585.0,28.466666666666672,22.037499999999998,28.925,28.10833333333333,22.666666666666668,21.479166666666668,71.20833333333333,65.41666666666667,68.45833333333333,116.33333333333333,7.475000000000001,3.620833333333333
2003-02-24,0.8333333333333334,1014.2875,1014.5291666666666,1014.0583333333334,1467.6666666666667,26.83333333333334,22.72916666666667,27.425,26.358333333333338,23.266666666666666,22.225000000000005,81.79166666666667,74.83333333333333,78.5,99.33333333333333,6.8041666666666645,3.3166666666666664
2003-02-25,1.2166666666666666,1012.7125000000001,1013.0,1012.5374999999999,1308.6666666666667,25.941666666666666,22.745833333333334,26.566666666666666,25.450000000000003,23.337500000000002,22.237499999999997,86.08333333333333,79.95833333333333,83.04166666666667,172.875,5.195833333333334,2.2416666666666667
2003-02-26,0.3833333333333333,1012.2083333333331,1012.4416666666665,1011.9749999999998,1568.0,27.05,20.820833333333336,27.74166666666667,26.341666666666665,21.529166666666665,20.354166666666664,74.41666666666667,66.20833333333333,69.83333333333333,133.0,6.204166666666667,3.0708333333333333
2003-02-27,0.0,1012.4249999999998,1012.6458333333334,1012.1624999999999,889.0,28.05,22.03333333333333,28.42916666666667,27.529166666666665,22.420833333333334,21.420833333333334,72.83333333333333,67.20833333333333,70.04166666666667,104.04166666666667,7.166666666666667,3.983333333333333
2003-02-28,0.17500000000000002,1013.0958333333333,1013.3375000000001,1012.9125,1054.5,28.149999999999995,23.041666666666668,28.579166666666662,27.558333333333334,23.537499999999998,22.512500000000006,77.125,71.5,73.91666666666667,105.91666666666667,8.158333333333333,4.304166666666666
2003-03-01,0.0,1012.2541666666666,1012.5083333333333,1012.058333333333,952.0,28.358333333333334,21.224999999999998,28.800000000000008,28.03333333333333,21.86666666666667,20.795833333333334,68.45833333333333,63.416666666666664,65.83333333333333,114.08333333333333,7.208333333333331,3.616666666666667
2003-03-02,0.21666666666666667,1011.1875,1011.4666666666666,1010.975,1072.5,27.454166666666662,22.304166666666664,27.970833333333328,27.0625,22.84166666666667,21.891666666666666,76.875,71.66666666666667,74.25,150.58333333333334,5.6499999999999995,2.629166666666667
2003-03-03,0.0,1011.3833333333336,1011.566666666667,1011.1416666666668,974.5,28.208333333333332,21.912499999999994,28.637500000000006,27.874999999999996,22.374999999999996,21.49166666666667,71.33333333333333,66.5,69.0,98.20833333333333,6.887499999999999,3.8875000000000006
2003-03-04,0.0,1012.6291666666666,1012.8291666666669,1012.4083333333333,584.0,28.04166666666666,21.762500000000003,28.525000000000006,27.57916666666667,22.212500000000006,21.354166666666668,71.5,66.375,69.04166666666667,119.5,6.4750000000000005,3.6125000000000003
